reporting_month,persona,initial_subscription_group,segment_level,revenue_companies_two_months_prior,confirmed_two_month_inactive_companies,base_month_revenue,revenue_from_confirmed_inactive_companies,confirmed_two_month_inactivity_rate_pct,confirmed_two_month_revenue_rate_pct
2026-01-01,BTP,business,persona_x_initial_plan,19,1,3137.93174069060461392570,99.60444277862354121000,5.26,3.17
2026-01-01,BTP,free,persona_x_initial_plan,215,3,11063.06595633944370427029,140.61745429798941613500,1.4,1.27
2026-01-01,BTP,plus,persona_x_initial_plan,157,8,10184.25207424482806713401,211.62203344471071384647,5.1,2.08
2026-01-01,BTP,start,persona_x_initial_plan,287,6,13066.13445278537079697137,136.05402895841539292760,2.09,1.04
2026-01-01,Bankers_Insurance,free,persona_x_initial_plan,27,1,639.47637052792408010830,138.03710136986301370000,3.7,21.59
2026-01-01,Bankers_Insurance,start,persona_x_initial_plan,19,1,676.07022846740727757000,11.57865395275607289000,5.26,1.71
2026-01-01,Bikers_Drivers,business,persona_x_initial_plan,11,2,1239.87026637444800239970,98.00496491753374410200,18.18,7.9
2026-01-01,Bikers_Drivers,free,persona_x_initial_plan,89,8,1989.79327890345301531170,364.33739571311982576521,8.99,18.31
2026-01-01,Bikers_Drivers,plus,persona_x_initial_plan,55,8,3412.13875319752770034525,658.14346380779821530350,14.55,19.29
2026-01-01,Bikers_Drivers,start,persona_x_initial_plan,92,4,1715.54509148425490560330,25.55834144270571705940,4.35,1.49
2026-01-01,Cleaning_CallCenters,business,persona_x_initial_plan,1,0,80.08898060273972602200,,0.0,
2026-01-01,Cleaning_CallCenters,free,persona_x_initial_plan,9,0,244.01355562153322580018,,0.0,
2026-01-01,Cleaning_CallCenters,plus,persona_x_initial_plan,4,0,10.43624388938610942140,,0.0,
2026-01-01,Cleaning_CallCenters,start,persona_x_initial_plan,8,0,286.93368879626287186600,,0.0,
2026-01-01,Consultant,business,persona_x_initial_plan,7,1,335.76532589474962452025,0.68794630136986300000,14.29,0.2
2026-01-01,Consultant,free,persona_x_initial_plan,261,7,7042.20507805720616270427,13.05092108209307822200,2.68,0.19
2026-01-01,Consultant,plus,persona_x_initial_plan,56,0,2974.24615323939929828120,,0.0,
2026-01-01,Consultant,start,persona_x_initial_plan,309,4,9044.99639527796576627051,43.57289758904109612181,1.29,0.48
2026-01-01,Developer_IT,business,persona_x_initial_plan,4,1,1686.70296450998729789300,1435.22138447044354500000,25.0,85.09
2026-01-01,Developer_IT,free,persona_x_initial_plan,130,7,3354.60626965659987998755,10.86084657972602559400,5.38,0.32
2026-01-01,Developer_IT,plus,persona_x_initial_plan,26,0,1535.43392885693704804660,,0.0,
2026-01-01,Developer_IT,start,persona_x_initial_plan,154,2,4638.18719112327232830262,70.40447842543622600100,1.3,1.52
2026-01-01,Media_Publishing,business,persona_x_initial_plan,1,0,138.06950756164383561900,,0.0,
2026-01-01,Media_Publishing,free,persona_x_initial_plan,59,0,790.59242947329396285940,,0.0,
2026-01-01,Media_Publishing,plus,persona_x_initial_plan,8,0,309.80554315924070790300,,0.0,
2026-01-01,Media_Publishing,start,persona_x_initial_plan,53,1,2902.99764067615082657240,0.02197917808219178000,1.89,0.0
2026-01-01,Medical_Professionals,free,persona_x_initial_plan,18,0,84.07264974874095437000,,0.0,
2026-01-01,Medical_Professionals,plus,persona_x_initial_plan,2,0,38.42662314406872070000,,0.0,
2026-01-01,Medical_Professionals,start,persona_x_initial_plan,23,0,346.77993807639581192200,,0.0,
2026-01-01,Others,business,persona_x_initial_plan,12,0,1223.79884471912308856970,,0.0,
2026-01-01,Others,free,persona_x_initial_plan,187,5,2441.38131126943714461035,20.44166975181138960849,2.67,0.84
2026-01-01,Others,plus,persona_x_initial_plan,95,7,2634.23764800567189371200,150.99369892133315198342,7.37,5.73
2026-01-01,Others,start,persona_x_initial_plan,250,7,6055.30187870166151070192,289.70574723868119603490,2.8,4.78
2026-01-01,Professeur,free,persona_x_initial_plan,50,3,435.16926229626429337213,2.74957424657534327702,6.0,0.63
2026-01-01,Professeur,plus,persona_x_initial_plan,8,0,47.81826386585768757587,,0.0,
2026-01-01,Professeur,start,persona_x_initial_plan,50,1,1229.01448528134467718640,10.78728512477718395300,2.0,0.88
2026-01-01,Repair,free,persona_x_initial_plan,10,2,19.28155492387562503363,0.00157910136986301413,20.0,0.01
2026-01-01,Repair,plus,persona_x_initial_plan,1,0,37.72724009995606137000,,0.0,
2026-01-01,Repair,start,persona_x_initial_plan,12,0,237.06554756847534000500,,0.0,
2026-01-01,Repair_Installation,free,persona_x_initial_plan,3,0,148.73587340294042396600,,0.0,
2026-01-01,Repair_Installation,plus,persona_x_initial_plan,1,0,2.41704271939685790000,,0.0,
2026-01-01,Repair_Installation,start,persona_x_initial_plan,5,0,122.81056986644143530000,,0.0,
2026-01-01,Restauration,free,persona_x_initial_plan,29,4,623.16854194084257795320,8.88149373366749357300,13.79,1.43
2026-01-01,Restauration,plus,persona_x_initial_plan,19,0,998.59729797910363018360,,0.0,
2026-01-01,Restauration,start,persona_x_initial_plan,38,0,1514.33344489630738974400,,0.0,
2026-01-01,Retail,business,persona_x_initial_plan,5,0,165.24135385580777890000,,0.0,
2026-01-01,Retail,free,persona_x_initial_plan,157,5,3252.72578017806049169725,8.01819076413611886861,3.18,0.25
2026-01-01,Retail,plus,persona_x_initial_plan,70,2,2966.76289558301890611153,59.03162246575342400000,2.86,1.99
2026-01-01,Retail,start,persona_x_initial_plan,242,7,7905.57531416637481619721,79.64023023508390377690,2.89,1.01
2026-01-01,Wholesale,business,persona_x_initial_plan,5,0,376.39446199929084157100,,0.0,
2026-01-01,Wholesale,free,persona_x_initial_plan,24,1,511.31447816040823761230,0.00343189479452054830,4.17,0.0
2026-01-01,Wholesale,plus,persona_x_initial_plan,20,0,786.61164794449036401000,,0.0,
2026-01-01,Wholesale,start,persona_x_initial_plan,35,1,1262.36658035865566087017,12.55690192273972610000,2.86,0.99
