revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,segment_company_share_pct,revenue_type,last_observed_revenue
Churned proxy,Medical_Professionals,ALL,persona,3,1.35,Subscription,22.00000000000000000000
Churned proxy,Medical_Professionals,ALL,persona,3,1.35,Total revenue,24.80921698630136975000
Active,Others,ALL,persona,2678,91.43,Banking fees,10217.01999999999999860000
Active,Others,ALL,persona,2678,91.43,Deposit interest,18012.30421815232936628870
Active,Others,ALL,persona,2678,91.43,Interchange,34375.40000279981403164500
Active,Others,ALL,persona,2678,91.43,Subscription,22130.08432795553125150000
Active,Others,ALL,persona,2678,91.43,Total revenue,84734.80854890767464803370
At-risk,Others,ALL,persona,144,4.92,Banking fees,221.21999999999999910000
At-risk,Others,ALL,persona,144,4.92,Deposit interest,143.46836119890411824093
At-risk,Others,ALL,persona,144,4.92,Interchange,1074.70747619999552376000
At-risk,Others,ALL,persona,144,4.92,Subscription,1269.50499999999999900000
At-risk,Others,ALL,persona,144,4.92,Total revenue,2708.90083739889964010093
Churned proxy,Others,ALL,persona,107,3.65,Banking fees,180.00000000000000000000
Churned proxy,Others,ALL,persona,107,3.65,Deposit interest,415.52330933698627172784
Churned proxy,Others,ALL,persona,107,3.65,Interchange,3488.30631242535881620000
Churned proxy,Others,ALL,persona,107,3.65,Subscription,539.15000000000000000000
Churned proxy,Others,ALL,persona,107,3.65,Total revenue,4622.97962176234508792784
Active,Professeur,ALL,persona,508,93.55,Banking fees,1119.30000000000000000000
Active,Professeur,ALL,persona,508,93.55,Deposit interest,3579.04334630630180367522
Active,Professeur,ALL,persona,508,93.55,Interchange,3999.10052159997844789400
Active,Professeur,ALL,persona,508,93.55,Subscription,3490.55177419300000000000
Active,Professeur,ALL,persona,508,93.55,Total revenue,12187.99564209928025156922
At-risk,Professeur,ALL,persona,20,3.68,Banking fees,8.00000000000000000000
At-risk,Professeur,ALL,persona,20,3.68,Deposit interest,11.87698850301369900420
At-risk,Professeur,ALL,persona,20,3.68,Interchange,605.81854799999767527000
At-risk,Professeur,ALL,persona,20,3.68,Subscription,171.00000000000000000000
At-risk,Professeur,ALL,persona,20,3.68,Total revenue,796.69553650301137427420
Churned proxy,Professeur,ALL,persona,15,2.76,Banking fees,0.80000000000000000000
Churned proxy,Professeur,ALL,persona,15,2.76,Deposit interest,13.85294598136986616302
Churned proxy,Professeur,ALL,persona,15,2.76,Interchange,111.95849994671388440000
Churned proxy,Professeur,ALL,persona,15,2.76,Subscription,11.00000000000000000000
Churned proxy,Professeur,ALL,persona,15,2.76,Total revenue,137.61144592808375056302
Active,Repair,ALL,persona,104,87.39,Banking fees,66.34000000000000000000
Active,Repair,ALL,persona,104,87.39,Deposit interest,373.29445542082192246454
Active,Repair,ALL,persona,104,87.39,Interchange,982.32845399999476200500
Active,Repair,ALL,persona,104,87.39,Subscription,600.82426075200000000000
Active,Repair,ALL,persona,104,87.39,Total revenue,2022.78717017281668446954
At-risk,Repair,ALL,persona,7,5.88,Banking fees,24.00000000000000000000
At-risk,Repair,ALL,persona,7,5.88,Deposit interest,9.42026029369863134400
At-risk,Repair,ALL,persona,7,5.88,Interchange,1.49939999999999319000
At-risk,Repair,ALL,persona,7,5.88,Subscription,36.00000000000000000000
At-risk,Repair,ALL,persona,7,5.88,Total revenue,70.91966029369862453400
Churned proxy,Repair,ALL,persona,8,6.72,Banking fees,4.00000000000000000000
Churned proxy,Repair,ALL,persona,8,6.72,Deposit interest,8.13933373643835783893
Churned proxy,Repair,ALL,persona,8,6.72,Interchange,152.55830682374777100000
Churned proxy,Repair,ALL,persona,8,6.72,Subscription,11.00000000000000000000
Churned proxy,Repair,ALL,persona,8,6.72,Total revenue,175.69764056018612883893
Active,Repair_Installation,ALL,persona,37,97.37,Banking fees,16.80000000000000000000
Active,Repair_Installation,ALL,persona,37,97.37,Deposit interest,500.09032217643837512200
Active,Repair_Installation,ALL,persona,37,97.37,Interchange,1056.59251199999417096000
Active,Repair_Installation,ALL,persona,37,97.37,Subscription,394.64645161300000000000
Active,Repair_Installation,ALL,persona,37,97.37,Total revenue,1968.12928578943254608200
At-risk,Repair_Installation,ALL,persona,1,2.63,Banking fees,0.00000000000000000000
At-risk,Repair_Installation,ALL,persona,1,2.63,Deposit interest,0.01212328767123287800
At-risk,Repair_Installation,ALL,persona,1,2.63,Interchange,0.00000000000000000000
At-risk,Repair_Installation,ALL,persona,1,2.63,Subscription,11.00000000000000000000
At-risk,Repair_Installation,ALL,persona,1,2.63,Total revenue,11.01212328767123287800
Active,Restauration,ALL,persona,431,91.9,Banking fees,3367.18000000000000000000
Active,Restauration,ALL,persona,431,91.9,Deposit interest,2588.71324065260292254691
Active,Restauration,ALL,persona,431,91.9,Interchange,12439.80184679993312762100
Active,Restauration,ALL,persona,431,91.9,Subscription,4034.49610215000000100000
Active,Restauration,ALL,persona,431,91.9,Total revenue,22430.19118960253605116791
At-risk,Restauration,ALL,persona,21,4.48,Banking fees,32.51999999999999600000
At-risk,Restauration,ALL,persona,21,4.48,Deposit interest,3.99848507835616458303
At-risk,Restauration,ALL,persona,21,4.48,Interchange,33.14896199999983766000
At-risk,Restauration,ALL,persona,21,4.48,Subscription,150.00000000000000000000
At-risk,Restauration,ALL,persona,21,4.48,Total revenue,219.66744707835599824303
Churned proxy,Restauration,ALL,persona,17,3.62,Banking fees,12.00000000000000000000
Churned proxy,Restauration,ALL,persona,17,3.62,Deposit interest,14.38128984493150931725
Churned proxy,Restauration,ALL,persona,17,3.62,Interchange,652.34890350540066070000
Churned proxy,Restauration,ALL,persona,17,3.62,Subscription,31.00000000000000000000
Churned proxy,Restauration,ALL,persona,17,3.62,Total revenue,709.73019335033217001725
Active,Retail,ALL,persona,2165,90.36,Banking fees,7491.58000000000000260000
Active,Retail,ALL,persona,2165,90.36,Deposit interest,16670.76196407561633577813
Active,Retail,ALL,persona,2165,90.36,Interchange,34273.41428339981329402544
Active,Retail,ALL,persona,2165,90.36,Subscription,16448.28180107146875100000
Active,Retail,ALL,persona,2165,90.36,Total revenue,74884.03804854689838340357
At-risk,Retail,ALL,persona,133,5.55,Banking fees,280.69999999999999940000
At-risk,Retail,ALL,persona,133,5.55,Deposit interest,145.31305442465757044921
At-risk,Retail,ALL,persona,133,5.55,Interchange,1996.31513519999180462300
At-risk,Retail,ALL,persona,133,5.55,Subscription,787.31250000000000000000
At-risk,Retail,ALL,persona,133,5.55,Total revenue,3209.64068962464937447221
Churned proxy,Retail,ALL,persona,98,4.09,Banking fees,13.60000000000000000000
Churned proxy,Retail,ALL,persona,98,4.09,Deposit interest,339.86583499287686682368
Churned proxy,Retail,ALL,persona,98,4.09,Interchange,1202.59354324484426729300
Churned proxy,Retail,ALL,persona,98,4.09,Subscription,670.00000000000000000000
Churned proxy,Retail,ALL,persona,98,4.09,Total revenue,2226.05937823772113411668
Active,Wholesale,ALL,persona,400,92.59,Banking fees,1698.48000000000000000000
Active,Wholesale,ALL,persona,400,92.59,Deposit interest,4398.51426037369872476128
Active,Wholesale,ALL,persona,400,92.59,Interchange,8896.83659819995211999400
Active,Wholesale,ALL,persona,400,92.59,Subscription,4811.53698924700000000000
Active,Wholesale,ALL,persona,400,92.59,Total revenue,19805.36784782065084475528
At-risk,Wholesale,ALL,persona,19,4.4,Banking fees,22.40000000000000000000
At-risk,Wholesale,ALL,persona,19,4.4,Deposit interest,125.26020125315070361450
At-risk,Wholesale,ALL,persona,19,4.4,Interchange,219.06424799999909482000
At-risk,Wholesale,ALL,persona,19,4.4,Subscription,209.90625000000000000000
At-risk,Wholesale,ALL,persona,19,4.4,Total revenue,576.63069925314979843450
Churned proxy,Wholesale,ALL,persona,13,3.01,Banking fees,9.60000000000000000000
Churned proxy,Wholesale,ALL,persona,13,3.01,Deposit interest,5.88882492273972623803
Churned proxy,Wholesale,ALL,persona,13,3.01,Interchange,18.56968199999990313500
Churned proxy,Wholesale,ALL,persona,13,3.01,Subscription,108.00000000000000000000
Churned proxy,Wholesale,ALL,persona,13,3.01,Total revenue,142.05850692273962937303
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,88.46,Banking fees,12.00000000000000000000
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,88.46,Deposit interest,379.19971849589048433313
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,88.46,Interchange,2424.10811579998639288300
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,88.46,Subscription,1360.00000000000000000000
Active,Automobile_Trade_Repair,business,persona_x_initial_plan,23,88.46,Total revenue,4175.30783429587687721613
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,11.54,Banking fees,4.04000000000000000000
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,11.54,Deposit interest,10.77378796876712533400
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,11.54,Interchange,4.24959458707764700000
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,11.54,Subscription,160.00000000000000000000
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,11.54,Total revenue,179.06338255584477233400
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,88.12,Banking fees,493.10000000000000000000
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,88.12,Deposit interest,592.49299684383561950084
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,88.12,Interchange,1400.54324399999244987000
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,88.12,Subscription,116.38451612900000000000
Active,Automobile_Trade_Repair,free,persona_x_initial_plan,178,88.12,Total revenue,2602.52075697282806937084
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,17,8.42,Banking fees,21.60000000000000000000
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,17,8.42,Deposit interest,20.11328565041096011997
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,17,8.42,Interchange,48.87718199999978886400
